match_id,date,home_team,away_team,home_team_id,away_team_id,home_team_elo,away_team_elo
1375939,2019-08-17,Brighton,West Ham,211,29,1640.47888184,1727.70458984
1375940,2019-08-18,Chelsea,Leicester,15,14,1872.140625,1740.62561035
1375941,2019-08-17,Everton,Watford,31,27,1775.0020752,1669.6583252
1375942,2019-08-17,Man City,Tottenham,167,30,2047.58081055,1897.41186523
1375943,2019-08-17,Norwich,Newcastle,168,23,1633.75634766,1714.13769531
1375944,2019-08-18,Sheffield United,Crystal Palace,163,162,1627.55615234,1745.76147461
1375945,2019-08-17,Southampton,Liverpool,18,26,1667.22753906,2051.7043457
1375946,2019-08-19,Wolves,Man United,161,32,1727.05090332,1857.65710449
1375947,2019-08-23,Aston Villa,Everton,24,31,1606.74865723,1779.07458496
1375948,2019-08-25,Bournemouth,Man City,183,167,1701.86572266,2045.06591797
1375949,2019-08-24,Brighton,Southampton,211,18,1644.1192627,1668.41455078
1375950,2019-08-24,Watford,West Ham,27,29,1668.55407715,1730.00061035
1375951,2019-08-25,Wolves,Burnley,161,184,1741.046875,1697.00439453
1375952,2019-09-01,Arsenal,Tottenham,13,30,1879.96801758,1892.83532715
1375953,2019-08-31,Burnley,Liverpool,184,26,1701.16247559,2061.48413086
1375954,2019-08-31,Chelsea,Sheffield United,15,163,1875.37658691,1634.08447266
1375955,2019-08-31,Crystal Palace,Aston Villa,162,24,1753.17590332,1625.97106934
1375956,2019-09-01,Everton,Wolves,31,161,1768.16381836,1742.95507812
1375957,2019-08-31,Leicester,Bournemouth,14,183,1756.99560547,1700.01367188
1375958,2019-08-31,Man City,Brighton,167,211,2049.29321289,1632.16833496
1375959,2019-08-31,Newcastle,Watford,23,27,1720.53259277,1658.2376709
1375960,2019-08-31,Southampton,Man United,18,32,1682.74060059,1847.31396484
1375961,2019-08-31,West Ham,Norwich,29,168,1742.69213867,1645.66796875
1375962,2019-09-16,Aston Villa,West Ham,24,29,1622.25561523,1748.57263184
1375963,2019-09-15,Bournemouth,Everton,183,31,1692.85388184,1774.09289551
1375964,2019-09-14,Brighton,Burnley,211,184,1630.68847656,1697.64562988
1375965,2019-09-14,Liverpool,Newcastle,26,23,2065.00097656,1717.11645508
1375966,2019-08-24,Liverpool,Arsenal,26,13,2056.45385742,1882.62329102
1375967,2019-09-14,Man United,Leicester,32,14,1844.42773438,1764.15539551
1375968,2019-08-24,Man United,Crystal Palace,32,162,1858.8314209,1739.2833252
1375969,2019-09-14,Norwich,Man City,168,167,1639.78759766,2050.77294922
1375970,2019-08-24,Norwich,Chelsea,168,15,1648.70080566,1869.96850586
1375971,2019-09-14,Sheffield United,Southampton,163,18,1641.10388184,1685.62683105
1375972,2019-08-24,Sheffield United,Leicester,163,14,1639.97070312,1748.73425293
1375973,2019-09-14,Tottenham,Crystal Palace,30,162,1894.2088623,1756.89135742
1375974,2019-08-25,Tottenham,Newcastle,30,23,1905.86303711,1705.12963867
1375975,2019-10-27,Newcastle,Wolves,23,161,1706.39758301,1750.01477051
1375976,2019-10-27,Norwich,Man United,168,32,1625.76293945,1830.49499512
1375977,2019-10-25,Southampton,Leicester,18,14,1671.75817871,1782.41320801
1375978,2019-10-26,Watford,Bournemouth,27,183,1659.81762695,1710.10717773
1375979,2019-10-26,West Ham,Sheffield United,29,163,1740.56604004,1662.80358887
1375980,2019-11-02,Arsenal,Wolves,13,161,1877.68005371,1750.67626953
1375981,2019-11-02,Aston Villa,Liverpool,24,26,1647.73779297,2059.15966797
1375982,2019-11-02,Bournemouth,Man United,183,32,1710.5189209,1837.0982666
1375983,2019-11-02,Brighton,Norwich,211,168,1655.20654297,1619.15966797
1375984,2019-11-03,Crystal Palace,Leicester,162,14,1762.5736084,1805.14794922
1375985,2019-11-03,Everton,Tottenham,31,30,1733.109375,1848.20214844
1375986,2019-09-15,Watford,Arsenal,27,13,1661.65380859,1878.59448242
1375987,2019-11-02,Man City,Southampton,167,18,2035.76184082,1652.9095459
1375988,2019-09-14,Wolves,Chelsea,161,15,1737.02600098,1868.35717773
1375989,2019-11-02,Sheffield United,Burnley,163,184,1666.6862793,1699.38806152
1375990,2019-09-22,Arsenal,Aston Villa,13,24,1878.61181641,1616.08642578
1375991,2019-11-02,Watford,Chelsea,27,15,1659.40600586,1899.36486816
1375992,2019-09-21,Burnley,Norwich,184,168,1689.4654541,1647.44519043
1375993,2019-11-02,West Ham,Newcastle,29,23,1736.68347168,1705.73608398
1375994,2019-09-22,Chelsea,Liverpool,15,26,1859.19213867,2041.2199707
1375995,2019-11-09,Burnley,West Ham,184,29,1686.68933105,1725.81066895
1375996,2019-09-22,Crystal Palace,Wolves,162,161,1741.7479248,1705.54748535
1375997,2019-11-09,Chelsea,Crystal Palace,15,162,1900.35766602,1750.32189941
1375998,2019-09-21,Everton,Sheffield United,31,163,1754.08837891,1624.59509277
1375999,2019-11-09,Leicester,Arsenal,14,13,1817.03942871,1865.85241699
1376000,2019-09-21,Leicester,Tottenham,14,30,1751.4552002,1890.74951172
1376001,2019-11-10,Liverpool,Man City,26,167,2061.02612305,2030.48242188
1376002,2019-09-21,Man City,Watford,167,27,2033.51879883,1657.83178711
1376003,2019-11-10,Man United,Brighton,32,211,1829.26647949,1662.77282715
1376004,2019-09-21,Newcastle,Brighton,23,211,1707.50024414,1622.84094238
1376005,2019-11-09,Newcastle,Bournemouth,23,183,1716.24853516,1719.94750977
1376006,2019-09-20,Southampton,Bournemouth,18,183,1685.87329102,1696.59606934
1376007,2019-11-08,Norwich,Watford,168,27,1610.30541992,1654.40905762
1376008,2019-09-22,West Ham,Man United,29,32,1738.71398926,1842.23120117
1376009,2019-11-09,Southampton,Everton,18,31,1651.88085938,1734.3482666
1376010,2019-09-28,Aston Villa,Burnley,24,184,1614.28503418,1697.10217285
1376011,2019-11-09,Tottenham,Sheffield United,30,163,1857.83361816,1679.02478027
1376012,2019-09-28,Bournemouth,West Ham,183,29,1709.87976074,1751.78112793
1376013,2019-11-10,Wolves,Aston Villa,161,24,1756.56213379,1646.01953125
1376014,2019-09-28,Chelsea,Brighton,15,211,1854.31384277,1626.79516602
1376015,2019-11-23,Arsenal,Southampton,13,18,1855.1673584,1644.41088867
1376016,2019-09-28,Crystal Palace,Norwich,162,168,1739.09228516,1639.80847168
1376017,2019-11-25,Aston Villa,Newcastle,24,23,1642.02038574,1722.81591797
1376018,2019-09-28,Everton,Man City,31,167,1736.07287598,2036.09838867
1376019,2019-11-23,Bournemouth,Wolves,183,161,1713.38012695,1760.5612793
1376020,2019-09-29,Leicester,Newcastle,14,23,1761.60778809,1703.54602051
1376021,2019-11-23,Brighton,Leicester,211,14,1658.3770752,1827.7244873
1376022,2019-09-30,Man United,Arsenal,32,13,1829.16418457,1880.41333008
1376023,2019-11-23,Crystal Palace,Liverpool,162,26,1745.69934082,2068.90942383
1376024,2019-09-28,Sheffield United,Liverpool,163,26,1642.6105957,2046.09814453
1376025,2019-11-23,Everton,Norwich,31,168,1741.8182373,1599.4543457
1376026,2019-09-28,Tottenham,Southampton,30,18,1880.5970459,1673.05871582
1376027,2019-11-23,Man City,Chelsea,167,15,2022.59899902,1904.98034668
1376028,2019-09-28,Wolves,Watford,161,27,1708.203125,1655.25231934
1376029,2019-11-24,Sheffield United,Man United,163,32,1685.03564453,1833.66223145
1376030,2019-10-06,Arsenal,Bournemouth,13,183,1882.16320801,1707.86010742
1376031,2019-11-23,Watford,Burnley,27,184,1667.11560059,1699.41247559
1376032,2019-10-05,Brighton,Tottenham,211,30,1622.07006836,1862.49963379
1376033,2019-11-23,West Ham,Tottenham,29,30,1713.08752441,1851.82275391
1376034,2019-10-05,Burnley,Everton,184,31,1694.89123535,1730.64294434
1376035,2019-11-30,Burnley,Crystal Palace,184,162,1701.82678223,1730.30285645
